iata,city,state,country
00M,Bay Springs,MS,USA
00R,Livingston,TX,USA
00V,Colorado Springs,CO,USA
01G,Perry,NY,USA
01J,Hilliard,FL,USA
01M,Belmont,MS,USA
02A,Clanton,AL,USA
02C,Brookfield,WI,USA
02G,East Liverpool,OH,USA
03D,Memphis,MO,USA
04M,Pittsboro,MS,USA
04Y,Hawley,MN,USA
05C,Griffith,IN,USA
05F,Gatesville,TX,USA
05U,Eureka,NV,USA
06A,Tuskegee,AL,USA
06C,Chicago/Schaumburg,IL,USA
06D,Rolla,ND,USA
06M,Eupora,MS,USA
06N,Middletown,NY,USA
06U,Jackpot,NV,USA
07C,Auburn,IN,USA
07F,Gladewater,TX,USA
07G,Charlotte,MI,USA
07K,Central City,NE,USA
08A,Wetumpka,AL,USA
08D,Stanley,ND,USA
08K,Harvard,NE,USA
08M,Carthage,MS,USA
09A,Butler,AL,USA
09J,Jekyll Island,GA,USA
09K,Sargent,NE,USA
09M,Charleston,MS,USA
09W,Washington,DC,USA
0A3,Smithville,TN,USA
0A8,Centreville,AL,USA
0A9,Elizabethton,TN,USA
0AK,Pilot Station,AK,USA
0B1,Bethel,ME,USA
0B4,Hartington,NE,USA
0B5,Montague,MA,USA
0B7,Warren,VT,USA
0B8,Fishers Island,NY,USA
0C0,Chicago/Harvard,IL,USA
0C4,Pender,NE,USA
0D1,South Haven,MI,USA
0D8,Gettysburg,SD,USA
0E0,Moriarty,NM,USA
0E8,Crownpoint,NM,USA
0F2,Bowie,TX,USA
0F4,Loup City,NE,USA
0F7,Eufaula,OK,USA
0F8,Sand Springs,OK,USA
0F9,Tishomingo,OK,USA
0G0,Lockport,NY,USA
0G3,Tecumseh,NE,USA
0G6,Bryan,OH,USA
0G7,Seneca Falls,NY,USA
0H1,Wakeeney,KS,USA
0I8,Cynthiana,KY,USA
0J0,Abbeville,AL,USA
0J4,Florala,AL,USA
0J6,Headland,AL,USA
0K7,Humboldt,IA,USA
0L5,Goldfield,NV,USA
0L7,Jean,NV,USA
0L9,Overton,NV,USA
0M0,Dumas,AR,USA
0M1,Parsons,TN,USA
0M4,Camden,TN,USA
0M5,Waverly,TN,USA
0M6,Batesville,MS,USA
0M8,Lake Providence,LA,USA
0O3,San Andreas,CA,USA
0O4,Corning,CA,USA
0O5,Davis,CA,USA
0Q5,Shelter Cove,CA,USA
0Q6,Shingletown,CA,USA
0R0,Columbia,MS,USA
0R1,Atmore,AL,USA
0R3,Abbeville,LA,USA
0R4,Vidalia,LA,USA
0R5,Winnfield,LA,USA
0R7,Coushatta,LA,USA
0S7,Oroville,WA,USA
0S9,Port Townsend,WA,USA
0V2,Salida,CO,USA
0V3,Minden,NE,USA
0V4,Brookneal,VA,USA
0V6,Mission,SD,USA
0V7,Kayenta,AZ,USA
10C,Chicago/Greenwood/Wonderlake,IL,USA
10D,Winsted,MN,USA
10G,Millersburg,OH,USA
