win,lose,probability
Cleveland Cavaliers,New York Knicks,0.90681719615080814
Golden State Warriors,San Antonio Spurs,0.70547138474450577
Portland Trail Blazers,Utah Jazz,0.75681087798032864
Boston Celtics,Brooklyn Nets,0.888674805316919
Indiana Pacers,Dallas Mavericks,0.63549343858539609
Houston Rockets,Los Angeles Lakers,0.83067616711443859
Memphis Grizzlies,Minnesota Timberwolves,0.63625157199115212
Charlotte Hornets,Milwaukee Bucks,0.70656349278540853
New Orleans Pelicans,Denver Nuggets,0.5017693284447402
Miami Heat,Orlando Magic,0.66057248548513858
Oklahoma City Thunder,Philadelphia 76ers,0.95533110881494587
Sacramento Kings,Phoenix Suns,0.64867898570832949
Toronto Raptors,Detroit Pistons,0.76451715363814121
Atlanta Hawks,Washington Wizards,0.69713888915984279
Boston Celtics,Chicago Bulls,0.61044856279516535
Portland Trail Blazers,Los Angeles Clippers,0.63547008487791456
San Antonio Spurs,Sacramento Kings,0.85787047859611421
Indiana Pacers,Brooklyn Nets,0.82435009759105649
Dallas Mavericks,Houston Rockets,0.53967557149225731
Detroit Pistons,Orlando Magic,0.67973367305631416
Miami Heat,Charlotte Hornets,0.58116774873238108
Golden State Warriors,New Orleans Pelicans,0.91200237446096721
Oklahoma City Thunder,Phoenix Suns,0.9364613247218817
Toronto Raptors,Cleveland Cavaliers,0.5112387141437631
Utah Jazz,Los Angeles Lakers,0.84068295274667071
Indiana Pacers,Chicago Bulls,0.55622263340675704
Charlotte Hornets,Boston Celtics,0.58779428660134114
Cleveland Cavaliers,Orlando Magic,0.89015807770505129
Portland Trail Blazers,Denver Nuggets,0.61380324379967433
Milwaukee Bucks,Brooklyn Nets,0.69595667567850317
Memphis Grizzlies,New York Knicks,0.56651894396878788
Atlanta Hawks,Philadelphia 76ers,0.91783916574524693
Sacramento Kings,Minnesota Timberwolves,0.5835274296383729
San Antonio Spurs,New Orleans Pelicans,0.94014000652273055
Detroit Pistons,Milwaukee Bucks,0.7510153205602611
Houston Rockets,Dallas Mavericks,0.57473428484922406
Los Angeles Clippers,Utah Jazz,0.72033975006679052
Washington Wizards,Memphis Grizzlies,0.52976996316594338
San Antonio Spurs,Miami Heat,0.6719558823084435
Oklahoma City Thunder,Los Angeles Lakers,0.95177530322499115
Golden State Warriors,Phoenix Suns,0.94257455067339302
Atlanta Hawks,Sacramento Kings,0.7831554611499395
Chicago Bulls,Brooklyn Nets,0.7982071609431618
Los Angeles Clippers,Phoenix Suns,0.88836950669032533
Toronto Raptors,Denver Nuggets,0.86467681080591419
Cleveland Cavaliers,Houston Rockets,0.84613494443018256
Detroit Pistons,New York Knicks,0.71820375343037324
Indiana Pacers,Los Angeles Lakers,0.87712306782774485
Miami Heat,Sacramento Kings,0.76674614926450679
Minnesota Timberwolves,Memphis Grizzlies,0.50021054595318759
New Orleans Pelicans,Milwaukee Bucks,0.52363984889064685
Orlando Magic,Philadelphia 76ers,0.83793149175676385
Golden State Warriors,Portland Trail Blazers,0.62838872744200902
San Antonio Spurs,Utah Jazz,0.88034714397607061
Atlanta Hawks,Los Angeles Lakers,0.8984289945270445
Boston Celtics,Chicago Bulls,0.67240827617228405
Detroit Pistons,Brooklyn Nets,0.79865692108068065
Charlotte Hornets,Philadelphia 76ers,0.93376345174305286
Oklahoma City Thunder,Los Angeles Clippers,0.51320302898117331
Memphis Grizzlies,New Orleans Pelicans,0.63765783609471827
Houston Rockets,New York Knicks,0.65706595268363266
Portland Trail Blazers,Phoenix Suns,0.77206653797860492
Utah Jazz,Dallas Mavericks,0.56308983575751126
Toronto Raptors,Washington Wizards,0.63465895177271547
Cleveland Cavaliers,Boston Celtics,0.78375312749836668
Golden State Warriors,Oklahoma City Thunder,0.77855853788936824
Indiana Pacers,Milwaukee Bucks,0.66841762481285327
Minnesota Timberwolves,Denver Nuggets,0.56707969595152985
Orlando Magic,Sacramento Kings,0.55836624903226328
Charlotte Hornets,Brooklyn Nets,0.8486198857816647
Chicago Bulls,New York Knicks,0.63146484566530625
Dallas Mavericks,Portland Trail Blazers,0.51085450363689655
Golden State Warriors,Los Angeles Lakers,0.96388101543467886
Los Angeles Clippers,Memphis Grizzlies,0.68408381329215473
New Orleans Pelicans,Phoenix Suns,0.61071004803903051
